"Date","Video Views","Profile Views","Likes","Comments","Shares"
"April 16","0","1","0","0","0"
"April 17","0","0","0","0","0"
"April 18","1","1","0","0","0"
"April 19","0","1","0","0","0"
"April 20","0","0","0","0","0"
"April 21","0","2","0","0","0"
"April 22","0","0","0","0","0"
